## buffer-commands
Close buffer                         | <leader>c
Join next line preserve spaces       | gJ
Use hard tabs                        | :set noet
Use soft tabs (spaces)               | :set et
Detab (needs 'et' on)                | :retab
Entab (needs 'et' off)               | :retab!
Set text width to {n}                | :set tw={n}
Sort selected lines                  | :sort
Sort+remove duplicates               | :sort u
Run macro in reg {r} for each line   | :norm @{r}
Run {Cmd} on lines matching {P}      | :g/{P}/{Cmd}
Autocomplete (search forward)        | <C-n>
Autocomplete (search backwards)      | <C-p>
Omnicomplete                         | <C-x><C-o>
Line autocomplete                    | <C-x><C-l>
Insert digraph                       | <C-k>{c}{c}
Insert calculated expr.              | <C-r>=
Increment number by {n}              | {n}<C-a>
Decrement number by {n}              | {n}<C-x>

## spell-vim
Toggle spell checking                | :setl spell!
To next misspelled word              | ]s
To prev misspelled word              | [s
Suggest corrections (normal mode)    | z=
Suggest corrections (insert mode)    | <C-x>s
Permanently mark as correct          | zg
Undo mark as correct                 | zug
Temporarily mark as correct          | zG
Permanently mark as incorrect        | zw
Undo mark as incorrect               | zuw
Temporarily mark as incorrect        | zW

## navigation-vim
Scroll down a full page              | <C-f>
Scroll up a full page                | <C-b>
Scroll down half a page              | <C-d>
Scroll up half a page                | <C-u>
Scroll down a bit                    | <C-e>
Scroll up a bit                      | <C-y>
Scroll horizontally right            | {n}zl
Scroll horizontally left             | {n}zh
Scroll horizontally half a screen    | zL
Scroll horizontally half a screen    | zH
Scroll line to top                   | zt
Scroll to bottom                     | zb
Scroll to center                     | zz
Toggle soft-wrapping                 | :setl wrap!
Page guide at column {n}             | :setl cc={n}
No page guide                        | :setl cc=
Toggle line numbers                  | :setl nu!
Toggle relative line numbers         | :setl rnu!
Toggle invisibles                    | :setl list!
Unfold all                           | zR
Show files                           | :ls
Edit buffer (autocomplete)           | :b <Tab>
Edit buffer {n}                      | :b{n}
Edit last edited file                | <C-^>
Edit next buffer                     | :bn
Edit prev buffer                     | :bp
Edir prev in arg list                | :prev
Edir next in arg list                | :next
Get file info                        | <C-g>
Character info                       | ga
Go to file under cursor              | gf
Line/word/char count                 | g<C-g>
Toggle cursorline                    | :setl cul!
Toggle search highlight              | :setl hls!
Cycle match groups (eg. if,else,end) | g%

## search-vim
Toggle ignore case                   | :set ic!
Search forward for {P}               | /{P}
Search backward for {P}              | ?{P}
Go to next match                     | n
Go to previous match                 | N
Select up to next match              | gn
Select up to prev match              | gN
Search word under cursor backward    | *
Search word under cursor forward     | #
Go to next match during search       | <C-G>
Go to previous match during search   | <C-T>
Find and replace                     | :s/{P}/{P}/g
Find and replace confirm             | :s/{P}/{P}/gc
Find and replace all                 | <leader>s, :%s/{P}/{P}/g
Open quickfix                        | :copen
Prev in quickfix list                | :cp
Next in quickfix list                | :cn
Close quickfix                       | :cclose
Open location list                   | :lopen
Prev in location list                | :lp
Next in location list                | :lne
Close location list                  | :lclose
Next command (command mode)          | <C-n>
Prev command (command mode)          | <C-p>
Browse command history               | q:
Browse search patterns               | q/
Use this file for diff               | :diffthis
Exit diff mode                       | :diffoff!
Re-scan files for diffs              | :diffupdate
Next difference                      | ]c
Prev difference                      | [c
Diff put                             | dp
Diff obtain                          | do
Get differences                      | :diffget
Put differences                      | :diffput

## movement-vim
Left                                 | h
Right                                | l
Up                                   | k
Down                                 | j
Up (honor soft-wrapping)             | gk
Down (honor soft-wrapping)           | gj
Start of next word                   | w
Start of prev word                   | b
End of next word                     | e
End of prev word                     | ge
Start of next WORD                   | W
Start of prev WORD                   | B
End of next WORD                     | E
End of prev WORD                     | gE
Start of line                        | 0
End of line                          | $
This line 1st non-blank              | ^
Next line 1st non-blank              | +
Prev line 1st non-blank              | -
First line                           | gg
Last line                            | G
Next {c} in this line                | f{c}
Just before next {c}                 | t{c}
Prev {c} in this line                | F{c}
Just after prev {c}                  | T{c}
Repeat f/t/F/T forward               | ;
Repeat f/t/F/T backward              | ,
Prev pos in change list              | g;
Next pos in change list              | g,
Go to line {n}                       | :{n}
Go to column {n}                     | {n}|
Jump to line {n}                     | {n}G
Jump to next blank line              | }
Jump to prev blank line              | {
Jump to begin of block               | [{
Jump to end of block                 | ]}
Jump to end of sentence              | )
Jump to beg. of sentence             | (
Jump to end of section               | ]]
Jump to beg. of section              | [[
Jump to top of window                | H
Jump to middle                       | M
Jump to bottom                       | L
Jump to matching delim               | %
Jump to specified tag                | :tag [tagname]
Jump to older tag                    | <C-t>
Jump to tag definition               | <C-]>
Jump to tag definition, show choices | g]
Jump or show choices                 | g<C-]>
To next matching tag                 | :tn
To prev matching tag                 | :tp
Set mark {c}                         | m{c}
Jump to mark at {c}                  | `{c}
View all marks                       | :marks
Remove marks                         | :delmarks {mark}
Jump to definition                   | gd
To prev jump position                | <C-o>
To next jump position                | <C-i>
Go to last insertion and INSERT      | gi

## folds-vim
Go to start of next fold             | zj
Go to end of previous fold           | zk
Open fold under cursor               | zo
Open all folds under cursor          | zO
Close fold under cursor              | zc
Close all folds under cursor         | zC
Toggle fold under cursor             | za
Toggle all folds under cursor        | zA
Open folds to show cursor line       | zv
Close all folds                      | zM
Open all folds                       | zR
Fold more                            | zm
Fold less                            | zr
Update folds                         | zx

## window-vim
New horizontal split                 | :new
New horizontal split                 | <C-w><C-n>
New vertical split                   | :vnew
Close window                         | <C-w>c
Close inactive windows               | <C-w><C-o>
Split horizontally                   | | , <C-w>s
Split vertically                     | \ , <C-w><C-v>
Exchange windows                     | <C-w><C-x>
Move to the very top                 | <C-w>K
Move to the very bottom              | <C-w>J
Move to the far right                | <C-w>L
Move to the far left                 | <C-w>H
One window per file                  | :ball
Cycle through windows                | <C-w><C-w>
Back to previous window              | <C-w><C-p>
Edit window to the left              | <C-w><C-h>
Edit window below                    | <C-w><C-j>
Edit window above                    | <C-w><C-k>
Edit window to the right             | <C-w><C-l>
Edit top window                      | <C-w><C-t>
Edit bottom window                   | <C-w><C-b>
All windows same size                | <C-w>=
Maximize height                      | <C-w>_
Maximize width                       | <C-w>|
Decrease height                      | <C-w>-
Increase height                      | <C-w>+
Decrease width                       | <C-w><
Increase width                       | <C-w>>
Execute {Cmd} in all windows         | :windo {Cmd}

## tabs-vim
New untitled tab                     | :tabnew
New/open in tab                      | :tabe [file]
Next tab                             | gt
Previous tab                         | gT
Go to tab {n}                        | {n}gt
Close tab                            | :tabc
Close all other tabs                 | :tabo
List tabs                            | :tabs
Move window to new tab               | <C-w>T
Open one tab per buffer              | :tab ball
Execute {Cmd} in all tabs            | :tabdo {Cmd}

## filename-modifiers-vim
Full path                            | %:p
Relative to $HOME                    | %:~
Relative to current directory        | %:.
Filename only (tail)                 | %:t
Remove last extension (get root)     | %:r
Extension only                       | %:e
Escape special chars (use in shell)  | %:S
Substitute first                     | %:s?pat?sub?
Substitute all                       | %:gs?pat?sub?
Get directory of file                | %:p:h

## help-vim
Help                                 | :h [helptag]
Help search                          | :helpgrep {searchterm}
Help on highlight test               | :h hitest.vim
View mappings                        | :map [mapping]
View Insert mode mappings            | :imap [mapping]
View registers                       | :reg
List of sourced files                | :scr
List of digraphs                     | :digraphs
List all syntax items                | :syn

## misc-vim
Show current directory               | :pwd
Change directory                     | :cd {dir}
Change to home directory             | :cd
Show value of {Var}                  | :echo {Var}
I
Show value of option                 | :set {Opt}?
